herb_name,city,town,collection_date,longitude,latitude,soil_pH,soil_Cr,soil_Ni,soil_Cu,soil_Zn,soil_As,soil_Cd,soil_Hg,soil_Pb,herb_Cr,herb_Ni,herb_Cu,herb_Zn,herb_As,herb_Cd,herb_Hg,herb_Pb
金银花,宿迁市,曹集乡,2024-5-23,118.39324,34.009724,4.8,65,25,21,43,9.1,0.12,0.042,29.3,0.663,4.705,8.258,21.644,0.136,0.218,0.015,0.616
金银花,宿迁市,曹集乡,2024-5-23,118.394783,34.01004,5.18,68,28,22,49,8.4,0.12,0.049,29.8,0.329,3.607,8.148,19.501,0.056,0.407,0.015,0.356
金银花,宿迁市,曹集乡,2024-5-23,118.394018,34.007894,5.15,63,25,21,41,8.9,0.11,0.04,28.1,0.401,3.453,8.196,16.939,0.067,0.318,0.004,0.397
金银花,盐城市,盐都区,2024-5-24,120.164622,33.326286,7.27,71,28,19,69,6.7,0.094,0.031,21,0.275,1.247,8.933,21.331,0.031,0.012,0.009,0.221
金银花,盐城市,盐都区,2024-5-28,120.177063,33.334709,6.73,69,25,18,62,7.4,0.084,0.035,20.8,0.329,0.499,6.96,12.087,0.047,0.014,0.012,0.221
金银花,徐州市,沛县,2024-6-3,116.869378,34.837976,7.24,60,22,17,60,9.6,0.12,0.02,16.3,0.956,1.319,8.855,47.192,0.125,0.064,0.008,0.43
金银花,连云港,东海县,2024-6-4,118.536796,34.659679,7.07,78,30,23,106,5.4,0.21,0.039,20,0.418,7.897,11.392,19.813,0.051,0.661,0.007,0.307
金银花,连云港,东海县,2024-6-8,118.557783,34.645875,6.55,81,32,24,114,6.3,0.23,0.037,20.1,0.49,10.373,12.592,32.991,0.046,0.488,0.008,0.389
金银花,泰州市,海陵区,2025-10-21,119.839534,32.572335,5.67,89,33,32,88,10.5,0.15,0.033,47,1.311,3.678,8.434,24.47,0.151,0.14,0.005,0.628
浙贝母,南通市,海门区,2024-5-20,121.303833,32.009448,7.34,72,32,33,125,9,0.27,0.071,25.7,0.729,0.162,1.472,12.261,0.044,0.032,0.007,0.079
浙贝母,南通市,海门区,2024-5-20,121.304458,32.0091,6.99,74,32,32,147,8,0.28,0.055,23.8,0.534,0.042,1.034,9.501,0.04,0.001,0.006,0.034
浙贝母,南通市,海门区,2024-5-20,121.304451,32.009844,7.38,74,33,24,87,9,0.19,0.074,23.5,0.21,0.151,1.692,8.93,0.045,0.032,0.013,0.05
